event_date,event_location,event_name,event_link,fight_link,fight of the night,performance of the night,knockout of the night,weight_class,fighter1_name,fighter1_link,fighter1_outcome,fighter2_name,fighter2_link,fighter2_outcome,fighter1_height,fighter1_weight,fighter1_reach,fighter1_dob,fighter1_current_record,fighter2_height,fighter2_weight,fighter2_reach,fighter2_dob,fighter2_current_record,method,finish_round,finish_time,time_format,referee,details,fighter1_total_KD,fighter2_total_KD,fighter1_total_sig_str,fighter2_total_sig_str,fighter1_total_sig_str_pct,fighter2_total_sig_str_pct,fighter1_total_total_str,fighter2_total_total_str,fighter1_total_td,fighter2_total_td,fighter1_total_td_pct,fighter2_total_td_pct,fighter1_total_sub_att,fighter2_total_sub_att,fighter1_total_rev,fighter2_total_rev,fighter1_total_ctrl,fighter2_total_ctrl,fighter1_round1_KD,fighter2_round1_KD,fighter1_round1_sig_str,fighter2_round1_sig_str,fighter1_round1_sig_pct,fighter2_round1_sig_pct,fighter1_round1_total_str,fighter2_round1_total_str,fighter1_round1_td,fighter2_round1_td,fighter1_round1_td_pct,fighter2_round1_td_pct,fighter1_round1_sub_att,fighter2_round1_sub_att,fighter1_round1_rev,fighter2_round1_rev,fighter1_round1_ctrl,fighter2_round1_ctrl,fighter1_round1_head,fighter2_round1_head,fighter1_round1_body,fighter2_round1_body,fighter1_round1_leg,fighter2_round1_leg,fighter1_round1_distance,fighter2_round1_distance,fighter1_round1_clinch,fighter2_round1_clinch,fighter1_round1_ground,fighter2_round1_ground,fighter1_round2_KD,fighter2_round2_KD,fighter1_round2_sig_str,fighter2_round2_sig_str,fighter1_round2_sig_pct,fighter2_round2_sig_pct,fighter1_round2_total_str,fighter2_round2_total_str,fighter1_round2_td,fighter2_round2_td,fighter1_round2_td_pct,fighter2_round2_td_pct,fighter1_round2_sub_att,fighter2_round2_sub_att,fighter1_round2_rev,fighter2_round2_rev,fighter1_round2_ctrl,fighter2_round2_ctrl,fighter1_round2_head,fighter2_round2_head,fighter1_round2_body,fighter2_round2_body,fighter1_round2_leg,fighter2_round2_leg,fighter1_round2_distance,fighter2_round2_distance,fighter1_round2_clinch,fighter2_round2_clinch,fighter1_round2_ground,fighter2_round2_ground,fighter1_round3_KD,fighter2_round3_KD,fighter1_round3_sig_str,fighter2_round3_sig_str,fighter1_round3_sig_pct,fighter2_round3_sig_pct,fighter1_round3_total_str,fighter2_round3_total_str,fighter1_round3_td,fighter2_round3_td,fighter1_round3_td_pct,fighter2_round3_td_pct,fighter1_round3_sub_att,fighter2_round3_sub_att,fighter1_round3_rev,fighter2_round3_rev,fighter1_round3_ctrl,fighter2_round3_ctrl,fighter1_round3_head,fighter2_round3_head,fighter1_round3_body,fighter2_round3_body,fighter1_round3_leg,fighter2_round3_leg,fighter1_round3_distance,fighter2_round3_distance,fighter1_round3_clinch,fighter2_round3_clinch,fighter1_round3_ground,fighter2_round3_ground,fighter1_round4_KD,fighter2_round4_KD,fighter1_round4_sig_str,fighter2_round4_sig_str,fighter1_round4_sig_pct,fighter2_round4_sig_pct,fighter1_round4_total_str,fighter2_round4_total_str,fighter1_round4_td,fighter2_round4_td,fighter1_round4_td_pct,fighter2_round4_td_pct,fighter1_round4_sub_att,fighter2_round4_sub_att,fighter1_round4_rev,fighter2_round4_rev,fighter1_round4_ctrl,fighter2_round4_ctrl,fighter1_round4_head,fighter2_round4_head,fighter1_round4_body,fighter2_round4_body,fighter1_round4_leg,fighter2_round4_leg,fighter1_round4_distance,fighter2_round4_distance,fighter1_round4_clinch,fighter2_round4_clinch,fighter1_round4_ground,fighter2_round4_ground,fighter1_round5_KD,fighter2_round5_KD,fighter1_round5_sig_str,fighter2_round5_sig_str,fighter1_round5_sig_pct,fighter2_round5_sig_pct,fighter1_round5_total_str,fighter2_round5_total_str,fighter1_round5_td,fighter2_round5_td,fighter1_round5_td_pct,fighter2_round5_td_pct,fighter1_round5_sub_att,fighter2_round5_sub_att,fighter1_round5_rev,fighter2_round5_rev,fighter1_round5_ctrl,fighter2_round5_ctrl,fighter1_round5_head,fighter2_round5_head,fighter1_round5_body,fighter2_round5_body,fighter1_round5_leg,fighter2_round5_leg,fighter1_round5_distance,fighter2_round5_distance,fighter1_round5_clinch,fighter2_round5_clinch,fighter1_round5_ground,fighter2_round5_ground
"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,http://ufcstats.com/event-details/85d905f7c4f5a1af,http://ufcstats.com/fight-details/4fb2c181e8fd5910,False,False,False,Light Heavyweight Bout,Tito Ortiz,http://ufcstats.com/fighter-details/2f732dd9210d301f,W,Vitor Belfort,http://ufcstats.com/fighter-details/0ee783aa00e468f0,L,"6' 3""",205 lbs,"74""","Jan 23, 1975",19-12-1,"6' 0""",185 lbs,"74""","Apr 01, 1977",26-14-0 (1 NC),Decision - Split,3,5:00,3 Rnd (5-5-5),John McCarthy,Nelson Hamilton 28 - 29. Cecil Peoples 28 - 29. Jeff Mullen 29 - 28.,0,0,27 of 47,19 of 38,57%,50%,101 of 130,44 of 65,4 of 11,0 of 0,36%,,0,1,0,1,9:24,3:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,http://ufcstats.com/event-details/85d905f7c4f5a1af,http://ufcstats.com/fight-details/987b6b4f7825e40e,False,False,False,Middleweight Bout,Pete Sell,http://ufcstats.com/fighter-details/0359313549d230a1,W,Phil Baroni,http://ufcstats.com/fighter-details/1652f3213655b935,L,"5' 11""",170 lbs,"75""","Aug 05, 1982",10-7-0,"5' 9""",170 lbs,"72""","Apr 16, 1976",15-18-0,Submission,3,4:19,3 Rnd (5-5-5),Mario Yamasaki,Guillotine Choke From Bottom Half Guard,0,0,16 of 49,17 of 40,32%,42%,90 of 136,73 of 102,1 of 4,4 of 6,25%,66%,1,0,1,0,4:20,6:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,http://ufcstats.com/event-details/85d905f7c4f5a1af,http://ufcstats.com/fight-details/dae856cb00cf5163,False,False,False,UFC Interim Heavyweight Title Bout,Andrei Arlovski,http://ufcstats.com/fighter-details/3738e68d2261e60f,W,Tim Sylvia,http://ufcstats.com/fighter-details/2a542ee8a8b83559,L,"6' 3""",240 lbs,"77""","Feb 04, 1979",34-24-0 (2 NC),"6' 8""",265 lbs,"80""","Mar 05, 1976",31-10-0 (1 NC),Submission,1,0:47,5 Rnd (5-5-5-5-5),John McCarthy,Ankle Lock After Drop to Ground,1,0,5 of 10,2 of 4,50%,50%,5 of 10,2 of 4,0 of 0,0 of 0,,,2,0,0,0,0:08,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,http://ufcstats.com/event-details/85d905f7c4f5a1af,http://ufcstats.com/fight-details/7cfc8649d07b704c,False,False,False,UFC Middleweight Title Bout,Evan Tanner,http://ufcstats.com/fighter-details/8f2d9ee27f206f1f,W,David Terrell,http://ufcstats.com/fighter-details/4123fd4dcc1fe937,L,"6' 0""",185 lbs,"74""","Feb 11, 1971",32-8-0,"6' 1""",185 lbs,,"Jan 09, 1978",6-2-0,KO/TKO,1,4:35,5 Rnd (5-5-5-5-5),Herb Dean,Punches to Head From Half Guard,0,0,19 of 28,4 of 9,67%,44%,62 of 77,4 of 11,0 of 0,2 of 2,,100%,0,1,0,0,3:09,0:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,http://ufcstats.com/event-details/85d905f7c4f5a1af,http://ufcstats.com/fight-details/c91ef06766009965,False,False,False,Heavyweight Bout,Paul Buentello,http://ufcstats.com/fighter-details/f0abbb6f3444dae7,W,Justin Eilers,http://ufcstats.com/fighter-details/27fc9218a3653e3c,L,"6' 2""",245 lbs,"77""","Jan 16, 1974",35-17-0,"6' 1""",235 lbs,,"Jun 28, 1978",19-7-1,KO/TKO,1,3:34,3 Rnd (5-5-5),Steve Mazzagatti,Punches to Head At Distance,1,0,22 of 50,7 of 28,44%,25%,24 of 52,15 of 37,0 of 0,0 of 0,,,0,0,0,0,0:03,1:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,http://ufcstats.com/event-details/85d905f7c4f5a1af,http://ufcstats.com/fight-details/48189cad0c11ff63,False,False,False,Heavyweight Bout,Mike Kyle,http://ufcstats.com/fighter-details/56b8b24f65f9f057,W,James Irvin,http://ufcstats.com/fighter-details/a7f4d0902bb64092,L,"6' 4""",205 lbs,"77""","Mar 31, 1980",22-14-1 (2 NC),"6' 2""",205 lbs,"75""","Sep 12, 1978",17-10-0 (2 NC),KO/TKO,1,1:55,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance,1,0,10 of 15,3 of 6,66%,50%,30 of 39,3 of 6,1 of 1,0 of 0,100%,,0,0,0,0,1:23,0:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,http://ufcstats.com/event-details/85d905f7c4f5a1af,http://ufcstats.com/fight-details/e30780438191654f,False,False,False,Middleweight Bout,David Loiseau,http://ufcstats.com/fighter-details/22e47b53e4ceb27c,W,Gideon Ray,http://ufcstats.com/fighter-details/ea3ef6206c7907d5,L,"6' 0""",185 lbs,"76""","Dec 17, 1979",23-11-0,"5' 10""",185 lbs,,"May 27, 1973",17-15-1,TKO - Doctor's Stoppage,1,5:00,3 Rnd (5-5-5),Steve Mazzagatti,Scalp Cut,2,0,17 of 34,11 of 23,50%,47%,25 of 43,12 of 24,0 of 0,1 of 1,,100%,1,0,0,0,2:37,0:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,http://ufcstats.com/event-details/85d905f7c4f5a1af,http://ufcstats.com/fight-details/45a52e065b73ecba,False,False,False,Welterweight Bout,Karo Parisyan,http://ufcstats.com/fighter-details/349aaa3da11eb587,W,Chris Lytle,http://ufcstats.com/fighter-details/91acd6910b802a9e,L,"5' 10""",170 lbs,"72""","Aug 28, 1982",24-11-0 (1 NC),"5' 11""",170 lbs,"68""","Aug 18, 1974",31-18-5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Cecil Peoples 27 - 30. Jeff Mullen 27 - 30. Dalby Shirley 27 - 30.,0,0,29 of 66,7 of 16,43%,43%,81 of 124,58 of 67,7 of 9,0 of 0,77%,,2,2,0,2,12:54,0:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"February 05, 2005","Las Vegas, Nevada, USA",UFC 51: Super Saturday,http://ufcstats.com/event-details/85d905f7c4f5a1af,http://ufcstats.com/fight-details/e8196de20c4a969a,False,False,False,Welterweight Bout,Nick Diaz,http://ufcstats.com/fighter-details/f57a8a52ca401ed9,W,Drew Fickett,http://ufcstats.com/fighter-details/d814f5192e58fb2f,L,"6' 1""",170 lbs,"76""","Aug 02, 1983",26-10-0 (2 NC),"5' 10""",155 lbs,"70""","Dec 14, 1979",42-21-0,KO/TKO,1,4:40,3 Rnd (5-5-5),John McCarthy,Punches to Head On Ground,0,0,13 of 28,3 of 8,46%,37%,136 of 153,4 of 13,0 of 1,0 of 0,0%,,1,2,0,0,2:26,1:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"October 22, 2004","Atlantic City, New Jersey, USA",UFC 50: The War Of '04,http://ufcstats.com/event-details/ce783bf73b5131f9,http://ufcstats.com/fight-details/9422b3caf780a995,False,False,False,Light Heavyweight Bout,Tito Ortiz,http://ufcstats.com/fighter-details/2f732dd9210d301f,W,Patrick Cote,http://ufcstats.com/fighter-details/9fa3bd637edd9aa2,L,"6' 3""",205 lbs,"74""","Jan 23, 1975",19-12-1,"5' 11""",170 lbs,"75""","Feb 29, 1980",23-11-0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Cecil Peoples 26 - 30. Abe Belardo 27 - 30. Jeff Mullen 27 - 30.,0,0,45 of 75,11 of 27,60%,40%,166 of 202,26 of 42,2 of 3,0 of 1,66%,0%,0,0,0,0,12:40,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
