event_date,event_location,event_name,event_link,fight_link,fight of the night,performance of the night,knockout of the night,weight_class,fighter1_name,fighter1_link,fighter1_outcome,fighter2_name,fighter2_link,fighter2_outcome,fighter1_height,fighter1_weight,fighter1_reach,fighter1_dob,fighter1_current_record,fighter2_height,fighter2_weight,fighter2_reach,fighter2_dob,fighter2_current_record,method,finish_round,finish_time,time_format,referee,details,fighter1_total_KD,fighter2_total_KD,fighter1_total_sig_str,fighter2_total_sig_str,fighter1_total_sig_str_pct,fighter2_total_sig_str_pct,fighter1_total_total_str,fighter2_total_total_str,fighter1_total_td,fighter2_total_td,fighter1_total_td_pct,fighter2_total_td_pct,fighter1_total_sub_att,fighter2_total_sub_att,fighter1_total_rev,fighter2_total_rev,fighter1_total_ctrl,fighter2_total_ctrl,fighter1_round1_KD,fighter2_round1_KD,fighter1_round1_sig_str,fighter2_round1_sig_str,fighter1_round1_sig_pct,fighter2_round1_sig_pct,fighter1_round1_total_str,fighter2_round1_total_str,fighter1_round1_td,fighter2_round1_td,fighter1_round1_td_pct,fighter2_round1_td_pct,fighter1_round1_sub_att,fighter2_round1_sub_att,fighter1_round1_rev,fighter2_round1_rev,fighter1_round1_ctrl,fighter2_round1_ctrl,fighter1_round1_head,fighter2_round1_head,fighter1_round1_body,fighter2_round1_body,fighter1_round1_leg,fighter2_round1_leg,fighter1_round1_distance,fighter2_round1_distance,fighter1_round1_clinch,fighter2_round1_clinch,fighter1_round1_ground,fighter2_round1_ground,fighter1_round2_KD,fighter2_round2_KD,fighter1_round2_sig_str,fighter2_round2_sig_str,fighter1_round2_sig_pct,fighter2_round2_sig_pct,fighter1_round2_total_str,fighter2_round2_total_str,fighter1_round2_td,fighter2_round2_td,fighter1_round2_td_pct,fighter2_round2_td_pct,fighter1_round2_sub_att,fighter2_round2_sub_att,fighter1_round2_rev,fighter2_round2_rev,fighter1_round2_ctrl,fighter2_round2_ctrl,fighter1_round2_head,fighter2_round2_head,fighter1_round2_body,fighter2_round2_body,fighter1_round2_leg,fighter2_round2_leg,fighter1_round2_distance,fighter2_round2_distance,fighter1_round2_clinch,fighter2_round2_clinch,fighter1_round2_ground,fighter2_round2_ground,fighter1_round3_KD,fighter2_round3_KD,fighter1_round3_sig_str,fighter2_round3_sig_str,fighter1_round3_sig_pct,fighter2_round3_sig_pct,fighter1_round3_total_str,fighter2_round3_total_str,fighter1_round3_td,fighter2_round3_td,fighter1_round3_td_pct,fighter2_round3_td_pct,fighter1_round3_sub_att,fighter2_round3_sub_att,fighter1_round3_rev,fighter2_round3_rev,fighter1_round3_ctrl,fighter2_round3_ctrl,fighter1_round3_head,fighter2_round3_head,fighter1_round3_body,fighter2_round3_body,fighter1_round3_leg,fighter2_round3_leg,fighter1_round3_distance,fighter2_round3_distance,fighter1_round3_clinch,fighter2_round3_clinch,fighter1_round3_ground,fighter2_round3_ground,fighter1_round4_KD,fighter2_round4_KD,fighter1_round4_sig_str,fighter2_round4_sig_str,fighter1_round4_sig_pct,fighter2_round4_sig_pct,fighter1_round4_total_str,fighter2_round4_total_str,fighter1_round4_td,fighter2_round4_td,fighter1_round4_td_pct,fighter2_round4_td_pct,fighter1_round4_sub_att,fighter2_round4_sub_att,fighter1_round4_rev,fighter2_round4_rev,fighter1_round4_ctrl,fighter2_round4_ctrl,fighter1_round4_head,fighter2_round4_head,fighter1_round4_body,fighter2_round4_body,fighter1_round4_leg,fighter2_round4_leg,fighter1_round4_distance,fighter2_round4_distance,fighter1_round4_clinch,fighter2_round4_clinch,fighter1_round4_ground,fighter2_round4_ground,fighter1_round5_KD,fighter2_round5_KD,fighter1_round5_sig_str,fighter2_round5_sig_str,fighter1_round5_sig_pct,fighter2_round5_sig_pct,fighter1_round5_total_str,fighter2_round5_total_str,fighter1_round5_td,fighter2_round5_td,fighter1_round5_td_pct,fighter2_round5_td_pct,fighter1_round5_sub_att,fighter2_round5_sub_att,fighter1_round5_rev,fighter2_round5_rev,fighter1_round5_ctrl,fighter2_round5_ctrl,fighter1_round5_head,fighter2_round5_head,fighter1_round5_body,fighter2_round5_body,fighter1_round5_leg,fighter2_round5_leg,fighter1_round5_distance,fighter2_round5_distance,fighter1_round5_clinch,fighter2_round5_clinch,fighter1_round5_ground,fighter2_round5_ground
"August 01, 2010","San Diego, California, USA",UFC Live: Jones vs Matyushenko,http://ufcstats.com/event-details/f12f979b657ab876,http://ufcstats.com/fight-details/7949430ebc47f31b,False,False,False,Light Heavyweight Bout,Jon Jones,http://ufcstats.com/fighter-details/07f72a2a7591b409,W,Vladimir Matyushenko,http://ufcstats.com/fighter-details/ccdd90bd1fc7dab6,L,"6' 4""",248 lbs,"84""","Jul 19, 1987",28-1-0 (1 NC),"6' 0""",205 lbs,"74""","Jan 04, 1971",27-8-0,KO/TKO,1,1:52,3 Rnd (5-5-5),Herb Dean,Elbows to Head From Crucifix,0,0,15 of 16,0 of 5,93%,0%,17 of 18,0 of 5,1 of 1,0 of 0,100%,,0,0,0,0,0:54,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August 01, 2010","San Diego, California, USA",UFC Live: Jones vs Matyushenko,http://ufcstats.com/event-details/f12f979b657ab876,http://ufcstats.com/fight-details/743f9df5bdfbcb95,False,False,False,Middleweight Bout,Mark Munoz,http://ufcstats.com/fighter-details/179f1948dc234f1f,L,Yushin Okami,http://ufcstats.com/fighter-details/acff437707625fc7,W,"6' 0""",185 lbs,"71""","Feb 09, 1978",14-6-0,"6' 2""",170 lbs,"75""","Jul 21, 1981",34-12-0,Decision - Split,3,5:00,3 Rnd (5-5-5),John McCarthy,Luis Cobian 28 - 29. Cecil Peoples 29 - 28. Lester Griffin 28 - 29.,1,1,16 of 44,22 of 83,36%,26%,19 of 48,101 of 162,1 of 15,1 of 1,6%,100%,0,0,0,0,1:27,5:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August 01, 2010","San Diego, California, USA",UFC Live: Jones vs Matyushenko,http://ufcstats.com/event-details/f12f979b657ab876,http://ufcstats.com/fight-details/c0dc7511452ed0f8,False,False,False,Welterweight Bout,John Howard,http://ufcstats.com/fighter-details/fc31f896cde2bc2e,L,Jake Ellenberger,http://ufcstats.com/fighter-details/d81ac739417d7f53,W,"5' 7""",170 lbs,"72""","Mar 01, 1983",24-13-0,"5' 9""",170 lbs,"71""","Mar 28, 1985",31-15-0,TKO - Doctor's Stoppage,3,2:21,3 Rnd (5-5-5),Herb Dean,Eye Injury,0,0,17 of 34,38 of 67,50%,56%,42 of 60,92 of 138,0 of 1,5 of 7,0%,71%,1,0,0,0,0:10,9:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August 01, 2010","San Diego, California, USA",UFC Live: Jones vs Matyushenko,http://ufcstats.com/event-details/f12f979b657ab876,http://ufcstats.com/fight-details/a01524699dfa3526,False,False,True,Lightweight Bout,Tyson Griffin,http://ufcstats.com/fighter-details/20205040232ed0f3,L,Takanori Gomi,http://ufcstats.com/fighter-details/3be081c29bf734d9,W,"5' 6""",145 lbs,"68""","Apr 20, 1984",16-8-0,"5' 7""",155 lbs,"70""","Sep 22, 1978",35-14-0 (1 NC),KO/TKO,1,1:04,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance,0,1,3 of 14,5 of 15,21%,33%,3 of 14,5 of 15,0 of 0,0 of 0,,,0,0,0,0,0:00,0:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August 01, 2010","San Diego, California, USA",UFC Live: Jones vs Matyushenko,http://ufcstats.com/event-details/f12f979b657ab876,http://ufcstats.com/fight-details/71cb15f6dbdaccd8,False,False,False,Lightweight Bout,Paul Kelly,http://ufcstats.com/fighter-details/aac5ac38148f0528,L,Jacob Volkmann,http://ufcstats.com/fighter-details/6f81b6de2557739a,W,"5' 9""",155 lbs,"70""","Sep 12, 1984",14-5-0,"5' 9""",155 lbs,"71""","Sep 05, 1980",19-7-0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Abe Belardo 27 - 30. Gene LeBell 27 - 30. Luis Cobian 27 - 30.,0,0,24 of 61,32 of 79,39%,40%,45 of 85,61 of 111,0 of 0,6 of 7,,85%,2,2,2,1,3:55,7:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August 01, 2010","San Diego, California, USA",UFC Live: Jones vs Matyushenko,http://ufcstats.com/event-details/f12f979b657ab876,http://ufcstats.com/fight-details/860954fbe26b867a,False,False,False,Welterweight Bout,DaMarques Johnson,http://ufcstats.com/fighter-details/322a56923b396b4d,L,Matthew Riddle,http://ufcstats.com/fighter-details/d023ae89a2a4a41e,W,"6' 1""",170 lbs,"75""","Jun 28, 1982",15-15-0,"6' 1""",170 lbs,"76""","Jan 14, 1986",8-3-0 (2 NC),KO/TKO,2,4:29,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Back Control,0,0,9 of 27,42 of 83,33%,50%,17 of 37,75 of 127,0 of 2,3 of 4,0%,75%,0,0,0,0,0:47,6:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August 01, 2010","San Diego, California, USA",UFC Live: Jones vs Matyushenko,http://ufcstats.com/event-details/f12f979b657ab876,http://ufcstats.com/fight-details/26800d759ba50371,False,False,False,Light Heavyweight Bout,James Irvin,http://ufcstats.com/fighter-details/a7f4d0902bb64092,L,Igor Pokrajac,http://ufcstats.com/fighter-details/53278852bcd91e11,W,"6' 2""",205 lbs,"75""","Sep 12, 1978",17-10-0 (2 NC),"6' 0""",205 lbs,"74""","Jan 02, 1979",28-13-0 (1 NC),Submission,1,2:29,3 Rnd (5-5-5),Herb Dean,Rear Naked Choke,0,0,11 of 22,18 of 27,50%,66%,14 of 25,21 of 30,0 of 1,2 of 3,0%,66%,0,1,1,0,1:06,1:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August 01, 2010","San Diego, California, USA",UFC Live: Jones vs Matyushenko,http://ufcstats.com/event-details/f12f979b657ab876,http://ufcstats.com/fight-details/a3902e22c10725c4,True,False,False,Middleweight Bout,Brian Stann,http://ufcstats.com/fighter-details/579fcdfcabd23a7b,W,Mike Massenzio,http://ufcstats.com/fighter-details/5b2d7906aa894274,L,"6' 1""",205 lbs,"74""","Sep 24, 1980",12-6-0,"6' 2""",185 lbs,"73""","Nov 01, 1982",13-9-0,Submission,3,3:10,3 Rnd (5-5-5),John McCarthy,Triangle Choke From Bottom Guard,0,0,43 of 72,5 of 11,59%,45%,119 of 152,26 of 33,0 of 0,5 of 9,,55%,2,2,0,0,5:17,5:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August 01, 2010","San Diego, California, USA",UFC Live: Jones vs Matyushenko,http://ufcstats.com/event-details/f12f979b657ab876,http://ufcstats.com/fight-details/db1c5b5a710fbdb0,False,False,False,Lightweight Bout,Darren Elkins,http://ufcstats.com/fighter-details/92a9aa9c93192871,L,Charles Oliveira,http://ufcstats.com/fighter-details/07225ba28ae309b6,W,"5' 10""",145 lbs,"71""","May 16, 1984",29-12-0,"5' 10""",155 lbs,"74""","Oct 17, 1989",36-11-0 (1 NC),Submission,1,0:41,3 Rnd (5-5-5),Herb Dean,Triangle Armbar From Bottom Guard,0,0,0 of 4,3 of 4,0%,75%,0 of 4,3 of 4,1 of 1,0 of 0,100%,,0,2,0,0,0:27,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"August 01, 2010","San Diego, California, USA",UFC Live: Jones vs Matyushenko,http://ufcstats.com/event-details/f12f979b657ab876,http://ufcstats.com/fight-details/92dea6ff8f0c1b10,False,False,False,Middleweight Bout,Rob Kimmons,http://ufcstats.com/fighter-details/054defd5420a551f,W,Steve Steinbeiss,http://ufcstats.com/fighter-details/0b5b6876c2a4723f,L,"5' 10""",185 lbs,"73""","Jan 30, 1981",25-9-0,"6' 3""",185 lbs,"75""","May 05, 1981",9-4-0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Abe Belardo 28 - 29. Gene LeBell 28 - 29. Lester Griffin 28 - 29.,0,0,38 of 65,85 of 129,58%,65%,126 of 167,148 of 193,4 of 8,0 of 1,50%,0%,2,0,0,0,6:50,5:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
